CASE;Geschlecht;Alter;Familienstand;Beruflicher Status;Branche;Mitarbeiteranzahl;UN-Zugehoerigkeit;Wochenarbeitszeit;Branche Sonstiges;Autonomie_1;OC_1;Kompetenz_1;Zugehoerigkeit_3;Zugehoerigkeit_4;Autonomie_2;OC_5;Kompetenz_4;Autonomie_3;OC_4;Kompetenz_5;Autonomie_4;Zugehoerigkeit_2;Kompetenz_6;Zugehoerigkeit_6;Autonomie_5;Kompetenz_3;OC_2;Zugehoerigkeit_5;Autonomie_6;Kompetenz_2;Zugehoerigkeit_1;OC_3;PE_UN;PE_Gesamt;PE_UN1;PE_UN2;PE_UN3;PE_UN4;PE_UN5;PE_UN6;PE_UN7;PE_UN8;PE_UN9;MAG;MAG-Haeufigkeit;MAG1;MAG2;MAG3;MAG4;MAG5;MAG6;JR;JR1;JR2;JR3;JR4;JR5;JR6;Mentoring;Mentoring1;Mentoring2;Mentoring3;Mentoring4;Mentoring5;Mentoring6;Laufbahn;Laufbahn1;Laufbahn2;Laufbahn3;Laufbahn4;Laufbahn5;Laufbahn6;
809;2;19;1;3;10;1;1;20;;3;4;4;2;5;4;5;4;3;2;3;3;2;2;5;5;4;5;4;3;3;3;4;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
811;1;24;1;1;21;3;5;35;;5;4;4;5;3;2;4;3;4;4;4;5;5;5;3;4;4;1;4;3;4;5;5;1;1;2;1;1;1;1;1;1;1;1;1;1;4;4;5;4;3;5;2;;;;;;;2;;;;;;;2;;;;;;;
812;2;23;1;1;21;6;3;39;;5;5;3;4;5;4;4;3;4;3;3;5;4;4;5;2;4;4;3;4;3;4;3;3;1;4;2;1;2;1;1;1;2;2;1;2;;;;;;;;2;;;;;;;2;;;;;;;1;4;4;4;4;5;3
815;1;26;1;1;6;6;6;40;;3;4;4;5;3;3;4;4;2;3;4;4;4;4;3;4;4;3;3;2;4;2;4;1;5;2;2;2;1;1;1;2;2;1;1;2;2;3;3;4;3;2;2;;;;;;;1;2;2;1;2;2;1;2;;;;;;;
818;1;32;2;2;10;5;7;40;;3;4;4;5;3;4;4;4;3;4;5;4;4;5;3;4;4;1;5;2;5;4;3;1;4;2;2;2;1;1;1;2;1;1;1;1;4;3;3;3;2;3;2;;;;;;;2;;;;;;;1;4;4;4;4;4;4;
819;1;25;2;1;10;1;4;26;;4;4;4;3;5;5;5;5;1;4;3;4;2;4;2;5;5;4;3;5;3;3;4;4;1;2;2;1;2;1;1;1;1;1;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;
820;2;28;3;1;10;3;3;43;;3;3;4;3;3;4;4;4;3;4;5;3;4;5;1;4;4;2;3;2;4;3;4;1;2;2;1;2;1;1;1;1;1;1;1;1;5;5;5;5;5;5;2;;;;;;;2;;;;;;;2;;;;;;;
821;1;22;1;3;12;3;3;20;;5;5;4;5;4;5;5;4;5;5;5;4;5;4;4;5;5;1;5;3;4;5;5;1;5;2;2;2;2;1;1;1;2;1;1;2;3;3;4;5;5;3;2;;;;;;;1;5;5;5;4;2;2;2;;;;;;;
822;1;26;1;1;9;6;2;38;;5;5;3;1;5;5;1;1;5;4;1;4;2;4;1;2;4;5;5;4;1;5;1;3;1;2;2;1;2;1;1;1;1;1;1;1;1;2;3;3;3;2;3;2;;;;;;;2;;;;;;;2;;;;;;
823;1;25;1;1;2;6;9;39;;3;2;4;5;2;2;2;4;2;3;4;2;3;4;3;4;4;3;4;2;4;4;3;1;7;2;2;2;2;2;1;2;2;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
825;1;34;1;1;2;6;15;42;;3;3;5;5;3;5;4;5;3;5;5;4;4;1;3;4;5;1;4;4;5;5;4;1;4;2;1;2;1;1;1;2;2;1;1;1;4;5;5;5;5;5;1;4;4;4;4;4;4;2;;;;;;;2;;;;;;;
829;2;25;1;1;12;2;6;45;;5;3;4;5;4;4;4;4;4;4;5;4;4;5;4;4;5;2;4;2;4;5;4;1;1;1;1;2;1;1;1;1;1;1;1;4;4;2;4;4;4;4;1;4;4;4;4;4;4;2;;;;;;;2;;;;;;;
839;1;29;1;2;2;6;10;39;;4;4;4;5;4;3;3;4;2;4;4;4;4;5;1;3;4;2;2;4;4;4;3;1;2;2;1;1;1;2;1;1;1;1;1;25;3;4;4;4;4;4;2;;;;;;;2;;;;;;;2;;;;;;;
841;1;24;1;3;6;1;8;15;;5;5;5;5;1;1;1;1;5;3;4;3;3;4;2;4;4;4;4;2;4;2;4;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
890;1;25;1;1;2;5;7;24;;4;2;3;5;3;3;1;2;2;2;5;2;3;4;2;3;4;4;4;1;4;3;2;1;1;2;1;1;1;1;1;1;1;1;1;2;4;4;3;5;3;4;2;;;;;;;2;;;;;;;2;;;;;;;
892;2;24;1;1;1;3;6;36;;4;3;3;4;2;2;3;3;2;3;3;2;2;3;2;2;3;4;2;2;4;2;2;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
897;2;31;1;1;1;4;2;40;;4;1;1;5;1;3;4;1;2;1;2;1;3;3;1;3;3;4;3;2;4;2;1;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
911;2;27;3;1;9;3;8;15;;4;2;5;3;4;4;5;5;3;5;5;3;3;5;2;5;5;1;3;2;5;3;5;1;2;1;1;2;1;1;1;1;1;2;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
